Treatment,gcps,PPK,PPK_Base,Point_ID,Type,Horz_Acc,Vert_Acc,Photos,RMS_Reprojection_Err,RMS_Dist_Rays,3D_Error,X Error,Y Error,Vert_Error,Horz Error
6 GCPs,6,FALSE,NA,1007,GCP,0.01,0.01,4,0.99,0.0099,0.01702,-0.00447,0.00395,-0.01594,0.005965182
6 GCPs,6,FALSE,NA,1027,GCP,0.01,0.01,4,0.92,0.0071,0.00668,0.00227,0.00626,0.000048,0.006658866
6 GCPs,6,FALSE,NA,1001,CP,0.01,0.01,4,1.68,0.01563,0.0175,0.00883,-0.00848,0.0125,0.01224252
6 GCPs,6,FALSE,NA,1002,CP,0.01,0.01,4,1.9,0.01667,0.01955,0.01238,0.00649,0.01367,0.013978001
6 GCPs,6,FALSE,NA,1004,CP,0.01,0.01,4,1.16,0.01528,0.0105,-0.00247,-0.00075,0.01018,0.002581356
6 GCPs,6,FALSE,NA,1005,CP,0.01,0.01,4,1.09,0.01154,0.03534,0.00189,0.00303,-0.03515,0.003571134
6 GCPs,6,FALSE,NA,1006,CP,0.01,0.01,4,1.94,0.02485,0.04599,-0.00532,0.00064,0.04568,0.005358358
6 GCPs,6,FALSE,NA,1008,CP,0.01,0.01,4,1.32,0.01941,0.01246,-0.00142,0.00945,-0.00799,0.009556092
6 GCPs,6,FALSE,NA,1009,CP,0.01,0.01,4,1.18,0.01173,0.00895,-0.00804,0.00303,-0.00249,0.008592002
6 GCPs,6,FALSE,NA,1010,CP,0.01,0.01,4,1.17,0.01174,0.01587,0.00633,0.00202,-0.01441,0.006644494
6 GCPs,6,FALSE,NA,1012,CP,0.01,0.01,3,1.98,0.01689,0.03571,0.0139,0.00012,0.03289,0.013900518
6 GCPs,6,FALSE,NA,1014,CP,0.01,0.01,4,0.52,0.01213,0.0153,0.00557,0.00103,-0.01422,0.005664433
6 GCPs,6,FALSE,NA,1015,CP,0.01,0.01,4,1.34,0.01932,0.0221,0.00314,0.00133,0.02184,0.003410059
6 GCPs,6,FALSE,NA,1016,CP,0.01,0.01,4,1.68,0.01679,0.04996,-0.01138,0.0137,-0.04668,0.017809952
6 GCPs,6,FALSE,NA,1020,CP,0.01,0.01,3,1.35,0.01108,0.01026,0.00696,-0.00589,0.00471,0.009117768
6 GCPs,6,FALSE,NA,1021,CP,0.01,0.01,4,2.13,0.02096,0.02903,0.01262,0.00223,0.02604,0.01281551
6 GCPs,6,FALSE,NA,1022,CP,0.01,0.01,4,1.91,0.01858,0.01936,0.00959,0.00935,-0.01398,0.013393678
6 GCPs,6,FALSE,NA,1023,CP,0.01,0.01,4,1.69,0.0164,0.01983,0.00669,0.00918,0.01626,0.011359071
6 GCPs,6,FALSE,NA,1024,CP,0.01,0.01,4,2.69,0.02388,0.03146,-0.02348,0.00327,0.02069,0.023706609
6 GCPs,6,FALSE,NA,1025,CP,0.01,0.01,4,2.45,0.02898,0.03005,-0.01061,0.00075,0.0281,0.010636475
6 GCPs,6,FALSE,NA,1026,CP,0.01,0.01,4,0.79,0.01236,0.01356,0.00481,-0.00362,0.01214,0.006020008
6 GCPs,6,FALSE,NA,1028,CP,0.01,0.01,3,2.02,0.01964,0.06139,0.0156,-0.00901,0.05869,0.018014997
6 GCPs,6,FALSE,NA,1019,CP,0.01,0.01,4,1.26,0.01288,0.00703,0.00118,0.00596,0.00354,0.006075689
6 GCPs,6,FALSE,NA,1013,CP,0.01,0.01,3,1.67,0.01732,0.04504,-0.0082,0.00552,0.04394,0.009884857
6 GCPs,6,FALSE,NA,1017,CP,0.01,0.01,4,1.47,0.01158,0.01431,-0.01042,0.00628,-0.00754,0.012166133
7 GCPs,7,FALSE,NA,1018,GCP,0.01,0.01,4,0.63,0.00951,0.01131,0.00019,0.00212,-0.01111,0.002128497
7 GCPs,7,FALSE,NA,1003,GCP,0.01,0.01,4,0.7,0.00731,0.01392,-0.00004,-0.00155,0.01383,0.001550516
7 GCPs,7,FALSE,NA,1029,GCP,0.01,0.01,3,0.75,0.00777,0.01404,-0.00469,-0.00266,-0.01297,0.005391818
7 GCPs,7,FALSE,NA,1030,GCP,0.01,0.01,4,0.9,0.01004,0.0234,0.00427,-0.0054,0.02236,0.00688425
